Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
LCL 6302660251,,,,4FT1-QS-POL-CIGLIANO-impermeabilizzazione CS PONTINA,16,Numbered,blue,"CIGLIANO, VERCELLI",48.30804,8.02316,,,,
LCL 6302660418,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Mall-002.JPG/400px-Mall-002.JPG,"Source: David Ball/Wikimedia, CC BY-SA",https://commons.wikimedia.org/wiki/File:Mall-002.JPG,4FB3-UP-PIS-SERRAVALLE SESIA-NUOVO ALLACCIO LANERIE GROSBER,14,Hidden,,"SERRAVALLE SESIA, VERCELLI",45.68485,8.3085,,,,
LCL 6302660496,media/google-sheet-screenshot.png,Screenshot of linked Google Sheet.,,4FB3-U4-PIS-ROASIO-NUOVO ALLACCIO BT COSTANZO - 377466244,14,Hidden,,"ROASIO, VERCELLI",45.60457,8.28482,,,,
"LCL 6302659267
",media/washington-monument-nps.png,"Source: US National Park Service, public domain",https://www.nps.gov/nama/learn/photosmultimedia/photogallery.htm,4FT1-QS-POL-CRESCENTINO-impearmaebilizzazione CS STR CERRINO,16,2,red,"CRESCENTINO, VERCELLI",45.19941,8.08635,,,,
LCL 6302659388,https://live.staticflickr.com/3747/9114059928_b5f4d56ce6_z.jpg,"Source: Anthony Citrano/Flickr, Creative Commons BY-NC-ND",https://flic.kr/p/eTnWuh,4FT2-E1-VOL-Borgo Vercelli sistemazione armadio LE MONDINE,17,3,purple,"BORGO VERCELLI, VERCELLI",45.3568,8.4646,,,,
